cislo_obce;nazev_obce;volici;vydane_obalky;platne_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
541257;Rybníky;335;227;227;59;0;0;1;0;18;7;0;39;3;1;0;0;0;0;15;1;1;7;20;10;0;32;12;0;1
541273;Sádek;188;136;136;30;0;0;0;0;29;10;0;10;0;0;0;0;1;0;3;0;0;1;21;6;0;12;12;0;1
541281;Sedlčany;5991;3841;3809;1049;2;1;2;13;237;186;7;488;21;43;2;1;3;2;270;7;48;44;359;172;1;583;261;3;4
530573;Sedlec-Prčice;2331;1513;1509;490;0;0;0;3;126;89;0;155;11;10;3;0;6;5;110;4;13;21;132;49;0;147;134;0;1
564630;Sedlice;212;164;161;38;0;0;0;0;16;8;0;30;1;1;0;0;0;0;8;0;4;0;16;8;0;14;16;0;1
541311;Smolotely;198;144;143;52;0;0;0;0;10;2;0;13;0;2;1;0;0;0;18;0;1;1;9;10;0;16;8;0;0
541320;Solenice;319;187;187;62;1;0;0;0;18;13;0;10;0;1;0;0;1;1;10;0;0;1;29;10;0;10;20;0;0
541338;Stará Huť;1052;756;755;181;0;2;1;2;82;25;1;108;6;6;0;0;0;1;51;0;13;10;56;33;1;129;46;0;1
564583;Starosedlský Hrádek;111;71;71;22;0;0;0;0;14;3;0;8;0;0;0;1;0;0;1;0;3;0;10;4;0;3;2;0;0
541371;Suchodol;281;220;218;65;0;0;1;0;26;14;0;30;6;1;0;0;1;0;19;0;1;8;10;5;0;19;12;0;0
541389;Svaté Pole;352;251;250;75;0;0;0;0;9;17;0;37;0;1;0;0;3;0;22;1;7;1;20;12;0;33;11;0;1
541397;Svatý Jan;490;311;311;76;1;0;0;0;22;24;0;38;1;2;0;0;2;0;49;2;5;8;16;8;0;33;24;0;0
564273;Svojšice;86;65;65;16;0;0;0;0;4;13;0;9;1;0;0;0;0;0;2;0;0;0;3;3;0;11;3;0;0
541419;Štětkovice;262;160;159;31;1;0;1;0;13;8;0;23;0;0;0;0;0;0;17;2;4;6;15;4;0;25;9;0;0
529664;Těchařovice;57;24;23;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;0;0
541427;Tochovice;496;337;333;137;0;0;0;0;33;8;0;29;2;1;0;0;1;0;31;1;3;2;21;8;0;29;26;1;0
598429;Trhové Dušníky;363;241;239;68;0;0;0;2;23;6;1;21;0;3;0;0;0;0;26;0;2;2;20;23;0;29;13;0;0
541451;Třebsko;197;136;133;38;0;0;0;0;8;11;0;13;2;1;0;0;1;0;8;0;3;4;14;4;0;17;9;0;0
598330;Tušovice;84;61;61;33;0;0;0;0;6;1;0;2;0;0;0;1;0;0;8;0;0;0;2;1;0;7;0;0;0
513539;Velká Lečice;139;85;85;16;0;0;0;1;3;9;0;10;1;2;0;0;0;1;8;1;1;1;10;3;0;12;6;0;0
541508;Věšín;536;363;360;118;0;0;0;1;36;4;1;32;0;1;1;0;1;2;17;1;1;1;54;12;0;38;39;0;0
541516;Višňová;536;356;354;108;0;0;0;0;22;6;1;46;2;4;0;0;1;2;32;1;3;8;39;9;0;34;35;0;1
541524;Volenice;331;223;222;49;0;0;0;0;38;8;0;9;0;3;0;0;1;2;37;1;1;1;19;18;0;4;31;0;0
541541;Voznice;498;343;341;77;0;0;0;2;10;6;2;44;1;6;0;0;0;1;30;2;19;4;23;31;0;58;25;0;0
564362;Vrančice;130;89;89;16;0;0;0;0;10;9;0;12;0;2;0;0;0;0;2;0;3;0;5;8;0;18;3;0;1
541567;Vranovice;236;147;146;51;1;0;0;0;17;4;0;8;2;0;0;0;1;1;18;1;1;3;16;1;0;8;13;0;0
598437;Vševily;107;80;79;17;0;0;0;1;10;3;0;12;0;1;0;0;0;1;8;1;0;1;13;3;0;4;4;0;0
541583;Vysoká u Příbramě;264;203;203;66;0;0;0;0;16;11;0;15;1;2;0;0;0;0;18;1;2;5;16;15;0;21;14;0;0
541591;Vysoký Chlumec;685;429;428;99;2;0;1;0;28;49;0;34;1;10;0;0;1;0;50;1;6;6;32;24;0;49;34;0;1
541613;Zalužany;260;181;179;66;0;0;0;2;18;10;0;20;0;0;0;0;0;0;8;0;3;1;13;11;0;13;14;0;0
564320;Zbenice;112;70;70;26;0;0;0;0;4;3;0;3;0;0;0;0;0;0;9;0;2;5;6;0;0;5;7;0;0
513512;Zduchovice;244;169;169;72;0;0;0;0;9;4;0;12;0;2;0;0;0;0;28;0;0;2;8;4;0;7;21;0;0
564338;Županovice;70;49;49;14;0;0;0;0;1;1;0;9;0;3;0;0;0;0;1;0;4;0;4;1;0;5;6;0;0
